"Title:","Participation by Sport from the College Athletics Database"
"SubTitle:","All Institutions: Pennsylvania State University-Main Campus - Collegiate Sport: All Sports - Variable: Total of Full-Time Undergraduates, Men"
"Time:","2006 - 2019"
"Unit of Measure:","#"
"Citation:","Office of Postsecondary Education, Office of Postsecondary Education (U.S. Department of Education) (2022-09-08). College Athletics: Participation by Sport | Pennsylvania State University-Main Campus | All Sports | Total of Full-Time Undergraduates, Men, 2006 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  069-001-006 doi:https://doi.org/10.6068/DP1846833FE2025"
"ColumnCount:",2
"RowCount:",14

"Time","Pennsylvania State University-Main Campus, All Sports, Total of Full-Time Undergraduates, Men"
"2006",20064
"2007",19171
"2008",19911
"2009",20213
"2010",20070
"2011",20168
"2012",20154
"2013",20614
"2014",20898
"2015",20986
"2016",21204
"2017",21053
"2018",20781
"2019",35954



"Publisher:", "Office of Postsecondary Education (U.S. Department of Education)"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."